kind,celula,cenario,metrica,incompletas,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia
GOV,8,adaptativa,divida_latente_sobre_plano,0,COMPLETO,0.024719574047413373,0.012908578240502563,0.03653056985432418,4,positivo,positivo
GOV,8,adaptativa,taxa_falha_efetiva,0,COMPLETO,0.3145833333333333,0.24686108172836124,0.3823055849383054,4,positivo,positivo
GOV,8,adaptativa,fracao_porta1,0,COMPLETO,0.5416666666666667,0.4960521169214544,0.5872812164118791,4,positivo,positivo
GOV,8,centralizada,atraso_relativo,0,COMPLETO,2.3750493249677187,1.267855803525667,3.48224284640977,4,positivo,positivo
GOV,8,centralizada,taxa_omissao,0,COMPLETO,0.07395833333333332,0.027587139701434844,0.1203295269652318,4,positivo,positivo
GOV,8,centralizada,divida_latente_sobre_plano,0,COMPLETO,0.024719574047413373,0.012908578240502563,0.03653056985432418,4,positivo,positivo
GOV,8,centralizada,taxa_falha_efetiva,0,COMPLETO,0.3145833333333333,0.24686108172836124,0.3823055849383054,4,positivo,positivo
GOV,8,centralizada,fracao_porta1,0,COMPLETO,0.5416666666666667,0.4960521169214544,0.5872812164118791,4,positivo,positivo
GOV,9,adaptativa,atraso_relativo,0,COMPLETO,3.0090263756150817,1.7499862280707976,4.268066523159366,4,positivo,positivo
GOV,9,adaptativa,taxa_omissao,0,COMPLETO,0.26875,0.2232963486388513,0.3142036513611487,4,positivo,positivo
GOV,9,adaptativa,divida_latente_sobre_plano,0,COMPLETO,0.09128964386347413,0.06391231727806086,0.1186669704488874,4,positivo,positivo
GOV,9,adaptativa,taxa_falha_efetiva,0,COMPLETO,0.3072916666666667,0.2638573654326153,0.3507259679007181,4,positivo,positivo
GOV,9,adaptativa,fracao_porta1,0,COMPLETO,0.5385416666666667,0.45322612389745515,0.6238572094358783,4,positivo,positivo
GOV,9,centralizada,atraso_relativo,0,COMPLETO,3.0090263756150817,1.7499862280707976,4.268066523159366,4,positivo,positivo
GOV,9,centralizada,taxa_omissao,0,COMPLETO,0.26875,0.2232963486388513,0.3142036513611487,4,positivo,positivo
GOV,9,centralizada,divida_latente_sobre_plano,0,COMPLETO,0.09128964386347413,0.06391231727806086,0.1186669704488874,4,positivo,positivo
GOV,9,centralizada,taxa_falha_efetiva,0,COMPLETO,0.3072916666666667,0.2638573654326153,0.3507259679007181,4,positivo,positivo
GOV,9,centralizada,fracao_porta1,0,COMPLETO,0.5385416666666667,0.45322612389745515,0.6238572094358783,4,positivo,positivo
GOV,10,adaptativa,atraso_relativo,0,COMPLETO,2.4659436960011565,1.3342680900964905,3.5976193019058225,4,positivo,positivo
GOV,10,adaptativa,taxa_omissao,0,COMPLETO,0.26458333333333334,0.24544389342669376,0.2837227732399729,4,positivo,positivo
GOV,10,adaptativa,divida_latente_sobre_plano,0,COMPLETO,0.05822541371918019,0.047849893388398894,0.06860093404996148,4,positivo,positivo
GOV,10,adaptativa,taxa_falha_efetiva,0,COMPLETO,0.30937499999999996,0.2855465894800598,0.3332034105199401,4,positivo,positivo
GOV,10,adaptativa,fracao_porta1,0,COMPLETO,0.5583333333333335,0.5002805377809505,0.6163861288857164,4,positivo,positivo
GOV,10,centralizada,atraso_relativo,0,COMPLETO,2.4659436960011565,1.3342680900964905,3.5976193019058225,4,positivo,positivo
GOV,10,centralizada,taxa_omissao,0,COMPLETO,0.26458333333333334,0.24544389342669376,0.2837227732399729,4,positivo,positivo
GOV,10,centralizada,divida_latente_sobre_plano,0,COMPLETO,0.05822541371918019,0.047849893388398894,0.06860093404996148,4,positivo,positivo
GOV,10,centralizada,taxa_falha_efetiva,0,COMPLETO,0.30937499999999996,0.2855465894800598,0.3332034105199401,4,positivo,positivo
GOV,10,centralizada,fracao_porta1,0,COMPLETO,0.5583333333333335,0.5002805377809505,0.6163861288857164,4,positivo,positivo
GOV,11,adaptativa,atraso_relativo,0,COMPLETO,2.33957696128286,1.2674296940427499,3.4117242285229703,4,positivo,positivo
GOV,11,adaptativa,taxa_omissao,0,COMPLETO,0.25625,0.22891341194886727,0.2835865880511327,4,positivo,positivo
GOV,11,adaptativa,divida_latente_sobre_plano,0,COMPLETO,0.04754689229168001,0.038472799337696824,0.05662098524566319,4,positivo,positivo
GOV,11,adaptativa,taxa_falha_efetiva,0,COMPLETO,0.303125,0.26508611552946804,0.3411638844705319,4,positivo,positivo
GOV,11,adaptativa,fracao_porta1,0,COMPLETO,0.5385416666666667,0.46503525293893105,0.6120480803944024,4,positivo,positivo
GOV,11,centralizada,atraso_relativo,0,COMPLETO,2.33957696128286,1.2674296940427499,3.4117242285229703,4,positivo,positivo
GOV,11,centralizada,taxa_omissao,0,COMPLETO,0.25625,0.22891341194886727,0.2835865880511327,4,positivo,positivo
GOV,11,centralizada,divida_latente_sobre_plano,0,COMPLETO,0.04754689229168001,0.038472799337696824,0.05662098524566319,4,positivo,positivo
