modelo,metrica,braco,ANTES_pct,DEPOIS_pct,DEPOIS_parcela
legado,E_total,so_tau_inicial,98.39240130627078,98.39240130627077,0.102949009795322
legado,E_total,so_tau_min,0.0,0.0,0.0
legado,E_total,so_p_reporte,4.28643996682309,4.286439966823477,0.004484947458066
legado,E_total,so_p_deteccao,1.81583585055223,1.8158358505519745,0.0018999282493703
legado,E_total,so_portao,,109.04005904427,0.1140897666648939
legado,E_total,so_rede,,-41.504366572923935,-0.0434264575733274
legado,E_total,centralizada,0.0,0.0,0.0
legado,E_total,adaptativa,100.0,99.99999999999835,0.10463105730580322
legado,E_total,so_par_tau,98.39240130627078,98.39240130627,0.10294900979532119
legado,E_total,sem_par_tau,3.7825980026900536,3.7825980026898782,0.0039577722838426
legado,S_UR_maximo,so_tau_inicial,22.345016801130097,22.3450168011301,-4.0866310238658246
legado,S_UR_maximo,so_tau_min,-0.0,0.0,0.0
legado,S_UR_maximo,so_p_reporte,82.11074634457512,82.11074634457509,-15.017053976327604
legado,S_UR_maximo,so_p_deteccao,57.23496393699513,57.23496393699514,-10.467576791570664
legado,S_UR_maximo,so_portao,,15.09451050874564,-2.760601859649928
legado,S_UR_maximo,so_rede,,6.219893456403209,-1.1375426472175152
legado,S_UR_maximo,centralizada,-0.0,0.0,0.0
legado,S_UR_maximo,adaptativa,100.0,100.00000000000014,-18.288780269161165
legado,S_UR_maximo,so_par_tau,22.345016801130097,22.345016801130217,-4.086631023865846
legado,S_UR_maximo,sem_par_tau,93.62511390353458,93.62511390353461,-17.122891358569284
legado,TL,so_tau_inicial,99.00695134061569,99.00695134061566,10.385416666666664
legado,TL,so_tau_min,0.0,0.0,0.0
legado,TL,so_p_reporte,0.0,-5.053287958368118e-15,-5.300688514663224e-16
legado,TL,so_p_deteccao,0.0,2.3529947713313042e-14,2.4681934736777324e-15
legado,TL,so_portao,,95.08440913604764,9.973958333333332
legado,TL,so_rede,,0.0,0.0
legado,TL,centralizada,0.0,0.0,0.0
legado,TL,adaptativa,100.0,99.99999999999986,10.489583333333325
legado,TL,so_par_tau,99.00695134061569,99.00695134061563,10.38541666666666
legado,TL,sem_par_tau,0.0,1.262177448353619e-29,7.888609052210118e-31
legado,TR,so_tau_inicial,91.2524520713784,91.25245207137843,-14.92562825018632
legado,TR,so_tau_min,-0.0,0.0,0.0
legado,TR,so_p_reporte,10.13410434760932,10.13410434760914,-1.65757599612442
legado,TR,so_p_deteccao,4.075629172652134,4.0756291726522695,-0.6666267539752186
legado,TR,so_portao,,56.4292814028227,-9.229806515060824
legado,TR,so_rede,,39.375694537667584,-6.4404513568841875
legado,TR,centralizada,-0.0,0.0,0.0
legado,TR,adaptativa,100.0,100.00000000000067,-16.356413347130086
legado,TR,so_par_tau,91.2524520713784,91.25245207137887,-14.92562825018639
legado,TR,sem_par_tau,5.6692849108020065,5.669284910802082,-0.9272916738372574
legado,TU,so_tau_inicial,99.80521166998528,99.80521166998528,-120.08854166666664
legado,TU,so_tau_min,-0.0,0.0,0.0
legado,TU,so_p_reporte,2.7227079906501603,2.7227079906501,-3.276041666666594
legado,TU,so_p_deteccao,0.0432862955588265,0.0432862955588974,-0.0520833333334191
