etapa,canal,tau_sat,s_transicao,metrica,censuradas,pares_indefinidos,media_observado_censurado,ic95_inferior_observado_censurado,ic95_superior_observado_censurado,n_instancias_observado_censurado,N_pares_previstos,N_pares_retidos,N_pares_excluidos,media_pares_completos,ic95_inferior_pares_completos,ic95_superior_pares_completos,n_instancias_pares_completos
grade,ativo,1.4,0.01,atraso_relativo,11,0,-174.50454688645098,-270.87826755737683,-78.1308262155251,4,16,5,11,-0.8170077972709553,-1.6194922280853188,-0.0145233664565918,3
grade,ativo,1.4,0.01,taxa_omissao,11,0,-0.0458333333333333,-0.209405575483424,0.1177389088167573,4,16,5,11,-0.2972222222222223,-0.446978011613688,-0.1474664328307565,3
grade,ativo,1.4,0.01,divida_latente_sobre_plano,11,0,-0.0212605335198768,-0.0900517808587249,0.0475307138189712,4,16,5,11,-0.1036013238330139,-0.2131548706747373,0.0059522230087093,3
grade,ativo,1.4,0.01,taxa_falha_efetiva,11,0,0.1604166666666666,-0.0471028815270657,0.367936214860399,4,16,5,11,-0.1027777777777777,-0.263572978425949,0.0580174228703935,3
grade,ativo,1.4,0.01,fracao_porta1,11,8,,,,4,16,5,11,-0.2250000000000001,-0.4224763620871626,-0.0275236379128375,3
grade,ativo,1.4,0.25,atraso_relativo,0,0,-1.1982497893640038,-1.6369980578900851,-0.7595015208379226,4,16,16,0,-1.1982497893640038,-1.6369980578900851,-0.7595015208379223,4
grade,ativo,1.4,0.25,taxa_omissao,0,0,-0.2291666666666666,-0.3078015860077899,-0.1505317473255434,4,16,16,0,-0.2291666666666666,-0.3078015860077899,-0.1505317473255434,4
grade,ativo,1.4,0.25,divida_latente_sobre_plano,0,0,-0.076137451709246,-0.1124895421840528,-0.0397853612344391,4,16,16,0,-0.076137451709246,-0.1124895421840528,-0.0397853612344391,4
grade,ativo,1.4,0.25,taxa_falha_efetiva,0,0,-0.0822916666666666,-0.1480099373810657,-0.0165733959522676,4,16,16,0,-0.0822916666666666,-0.1480099373810657,-0.0165733959522676,4
grade,ativo,1.4,0.25,fracao_porta1,0,0,-0.2291666666666666,-0.3121533005715884,-0.1461800327617449,4,16,16,0,-0.2291666666666667,-0.3121533005715885,-0.1461800327617449,4
grade,ativo,1.4,0.6,atraso_relativo,0,0,-0.9533381131501674,-1.3605955928310145,-0.5460806334693205,4,16,16,0,-0.9533381131501673,-1.360595592831014,-0.5460806334693205,4
grade,ativo,1.4,0.6,taxa_omissao,0,0,-0.1864583333333333,-0.2102867438532735,-0.1626299228133931,4,16,16,0,-0.1864583333333333,-0.2102867438532735,-0.1626299228133931,4
grade,ativo,1.4,0.6,divida_latente_sobre_plano,0,0,-0.0669954588431324,-0.0972766774160552,-0.0367142402702096,4,16,16,0,-0.0669954588431324,-0.0972766774160552,-0.0367142402702096,4
grade,ativo,1.4,0.6,taxa_falha_efetiva,0,0,-0.0166666666666666,-0.1167789279334804,0.083445594600147,4,16,16,0,-0.0166666666666666,-0.1167789279334804,0.083445594600147,4
grade,ativo,1.4,0.6,fracao_porta1,0,0,-0.0583333333333333,-0.1542599311969575,0.0375932645302908,4,16,16,0,-0.0583333333333333,-0.1542599311969575,0.0375932645302908,4
grade,desligado,0.7,0.01,atraso_relativo,0,0,-1.265622413788806,-1.9479820916478163,-0.5832627359297955,4,16,16,0,-1.265622413788806,-1.9479820916478163,-0.5832627359297955,4
grade,desligado,0.7,0.01,taxa_omissao,0,0,-0.2666666666666666,-0.3357809836032889,-0.1975523497300443,4,16,16,0,-0.2666666666666667,-0.335780983603289,-0.1975523497300444,4
grade,desligado,0.7,0.01,divida_latente_sobre_plano,0,0,-0.0987137618193198,-0.1411593905092643,-0.0562681331293754,4,16,16,0,-0.0987137618193198,-0.1411593905092643,-0.0562681331293754,4
grade,desligado,0.7,0.01,taxa_falha_efetiva,0,0,-0.0958333333333333,-0.250567152951637,0.0589004862849703,4,16,16,0,-0.0958333333333333,-0.250567152951637,0.0589004862849703,4
grade,desligado,0.7,0.01,fracao_porta1,0,0,-0.3166666666666666,-0.5471678291749681,-0.0861655041583652,4,16,16,0,-0.3166666666666666,-0.5471678291749681,-0.0861655041583652,4
grade,desligado,0.7,0.25,atraso_relativo,0,0,-1.148710057058674,-1.625213404799529,-0.6722067093178187,4,16,16,0,-1.148710057058674,-1.625213404799529,-0.6722067093178187,4
grade,desligado,0.7,0.25,taxa_omissao,0,0,-0.1927083333333333,-0.2518550866459687,-0.133561580020698,4,16,16,0,-0.1927083333333333,-0.2518550866459687,-0.133561580020698,4
grade,desligado,0.7,0.25,divida_latente_sobre_plano,0,0,-0.0634043975230219,-0.0970400550963155,-0.0297687399497283,4,16,16,0,-0.0634043975230219,-0.0970400550963155,-0.0297687399497283,4
grade,desligado,0.7,0.25,taxa_falha_efetiva,0,0,-0.0302083333333333,-0.1170558486297531,0.0566391819630864,4,16,16,0,-0.0302083333333333,-0.1170558486297531,0.0566391819630865,4
grade,desligado,0.7,0.25,fracao_porta1,0,0,-0.1145833333333333,-0.2165087129789085,-0.012657953687758,4,16,16,0,-0.1145833333333333,-0.2165087129789085,-0.012657953687758,4
grade,desligado,0.7,0.6,atraso_relativo,0,0,-1.0524292468703729,-1.3541441799538754,-0.7507143137868704,4,16,16,0,-1.0524292468703729,-1.3541441799538754,-0.7507143137868704,4
grade,desligado,0.7,0.6,taxa_omissao,0,0,-0.1947916666666666,-0.2546770136708488,-0.1349063196624845,4,16,16,0,-0.1947916666666666,-0.2546770136708487,-0.1349063196624845,4
grade,desligado,0.7,0.6,divida_latente_sobre_plano,0,0,-0.0563116577806235,-0.0866726286955441,-0.025950686865703,4,16,16,0,-0.0563116577806235,-0.0866726286955441,-0.025950686865703,4
grade,desligado,0.7,0.6,taxa_falha_efetiva,0,0,-0.0510416666666666,-0.1516466901950101,0.0495633568616767,4,16,16,0,-0.0510416666666666,-0.1516466901950101,0.0495633568616767,4
grade,desligado,0.7,0.6,fracao_porta1,0,0,-0.046875,-0.1086867982926626,0.0149367982926626,4,16,16,0,-0.046875,-0.1086867982926626,0.0149367982926626,4
grade,desligado,1.0,0.01,atraso_relativo,7,0,-112.35571315864254,-235.9494192777856,11.237992960500506,4,16,9,7,-2.040744729114631,-4.98625802672222,0.9047685684929588,4
grade,desligado,1.0,0.01,taxa_omissao,7,0,-0.1166666666666666,-0.2946531674795084,0.0613198341461751,4,16,9,7,-0.2479166666666666,-0.2991303174364512,-0.1967030158968821,4
grade,desligado,1.0,0.01,divida_latente_sobre_plano,7,0,-0.0597520734483335,-0.1207391952665883,0.0012350483699213,4,16,9,7,-0.1157286284840232,-0.1602433923717063,-0.0712138645963402,4
grade,desligado,1.0,0.01,taxa_falha_efetiva,7,0,0.0624999999999999,-0.1830225374577751,0.3080225374577751,4,16,9,7,-0.0802083333333333,-0.1952202838229612,0.0348036171562945,4
grade,desligado,1.0,0.01,fracao_porta1,7,4,-0.1583333333333333,-0.539126427323491,0.2224597606568244,4,16,9,7,-0.2625,-0.461697347082451,-0.063302652917549,4
grade,desligado,1.0,0.25,atraso_relativo,0,0,-1.2133232876165976,-1.895400725901979,-0.5312458493312162,4,16,16,0,-1.2133232876165976,-1.895400725901979,-0.5312458493312162,4
grade,desligado,1.0,0.25,taxa_omissao,0,0,-0.2229166666666666,-0.2863950075345449,-0.1594383257987884,4,16,16,0,-0.2229166666666666,-0.2863950075345449,-0.1594383257987884,4
grade,desligado,1.0,0.25,divida_latente_sobre_plano,0,0,-0.0757111130237924,-0.1205228178261756,-0.0308994082214092,4,16,16,0,-0.0757111130237924,-0.1205228178261756,-0.0308994082214092,4
grade,desligado,1.0,0.25,taxa_falha_efetiva,0,0,-0.04375,-0.1241356476078862,0.0366356476078862,4,16,16,0,-0.04375,-0.1241356476078862,0.0366356476078861,4
grade,desligado,1.0,0.25,fracao_porta1,0,0,-0.1104166666666666,-0.1496408463489423,-0.071192486984391,4,16,16,0,-0.1104166666666666,-0.1496408463489423,-0.071192486984391,4
grade,desligado,1.0,0.6,atraso_relativo,0,0,-1.0276192554952313,-1.5111381700436988,-0.5441003409467637,4,16,16,0,-1.0276192554952313,-1.5111381700436988,-0.5441003409467637,4
grade,desligado,1.0,0.6,taxa_omissao,0,0,-0.1822916666666666,-0.3032644342203509,-0.0613188991129824,4,16,16,0,-0.1822916666666666,-0.3032644342203509,-0.0613188991129824,4
grade,desligado,1.0,0.6,divida_latente_sobre_plano,0,0,-0.0627101322817823,-0.1013522290318391,-0.0240680355317255,4,16,16,0,-0.0627101322817823,-0.1013522290318391,-0.0240680355317255,4
grade,desligado,1.0,0.6,taxa_falha_efetiva,0,0,-0.0489583333333333,-0.1525767934060323,0.0546601267393656,4,16,16,0,-0.0489583333333333,-0.1525767934060323,0.0546601267393656,4
grade,desligado,1.0,0.6,fracao_porta1,0,0,-0.0666666666666666,-0.1660444186636747,0.0327110853303413,4,16,16,0,-0.0666666666666666,-0.1660444186636747,0.0327110853303413,4
grade,desligado,1.4,0.01,atraso_relativo,11,0,-174.61085683669603,-270.9386186760168,-78.28309499737527,4,16,5,11,-1.3279020820973528,-3.1296923246840884,0.4738881604893827,3
grade,desligado,1.4,0.01,taxa_omissao,11,0,-0.021875,-0.129788179475393,0.086038179475393,4,16,5,11,-0.2194444444444444,-0.2510659697256067,-0.1878229191632822,3
grade,desligado,1.4,0.01,divida_latente_sobre_plano,11,0,-0.0148467759556662,-0.0716430461681854,0.0419494942568529,4,16,5,11,-0.0872516121928272,-0.1849822167170067,0.0104789923313521,3
grade,desligado,1.4,0.01,taxa_falha_efetiva,11,0,0.1479166666666666,-0.0022517252335539,0.2980850585668873,4,16,5,11,-0.05,-0.1402342103980441,0.040234210398044,3
grade,desligado,1.4,0.01,fracao_porta1,11,8,,,,4,16,5,11,-0.1916666666666667,-0.2865312425101533,-0.0968020908231801,3
grade,desligado,1.4,0.25,atraso_relativo,0,0,-0.8904185704920158,-1.240989885402883,-0.5398472555811487,4,16,16,0,-0.8904185704920158,-1.240989885402883,-0.5398472555811487,4
grade,desligado,1.4,0.25,taxa_omissao,0,0,-0.19375,-0.2388801337164611,-0.1486198662835388,4,16,16,0,-0.19375,-0.2388801337164611,-0.1486198662835389,4
grade,desligado,1.4,0.25,divida_latente_sobre_plano,0,0,-0.0720005100901122,-0.0934490136662723,-0.050552006513952,4,16,16,0,-0.0720005100901122,-0.0934490136662724,-0.050552006513952,4
grade,desligado,1.4,0.25,taxa_falha_efetiva,0,0,-0.0489583333333333,-0.0655335745066888,-0.0323830921599777,4,16,16,0,-0.0489583333333333,-0.0655335745066888,-0.0323830921599778,4
grade,desligado,1.4,0.25,fracao_porta1,0,0,-0.2302083333333333,-0.3413325213914376,-0.119084145275229,4,16,16,0,-0.2302083333333333,-0.3413325213914377,-0.119084145275229,4
grade,desligado,1.4,0.6,atraso_relativo,0,0,-0.925787220876146,-1.026748795232896,-0.824825646519396,4,16,16,0,-0.925787220876146,-1.026748795232896,-0.824825646519396,4
grade,desligado,1.4,0.6,taxa_omissao,0,0,-0.1604166666666666,-0.18828411181459,-0.1325492215187432,4,16,16,0,-0.1604166666666666,-0.18828411181459,-0.1325492215187433,4
grade,desligado,1.4,0.6,divida_latente_sobre_plano,0,0,-0.0531225431770055,-0.0766918894270174,-0.0295531969269935,4,16,16,0,-0.0531225431770054,-0.0766918894270174,-0.0295531969269935,4
grade,desligado,1.4,0.6,taxa_falha_efetiva,0,0,-0.0145833333333333,-0.0831655844893569,0.0539989178226902,4,16,16,0,-0.0145833333333333,-0.0831655844893569,0.0539989178226902,4
grade,desligado,1.4,0.6,fracao_porta1,0,0,-0.0645833333333333,-0.1599738102841606,0.0308071436174939,4,16,16,0,-0.0645833333333333,-0.1599738102841606,0.0308071436174939,4
nominal,ativo,1.0,0.25,atraso_relativo,0,0,-1.023421033555509,-1.1138695579329885,-0.9329725091780297,16,192,192,0,-1.023421033555509,-1.1138695579329885,-0.9329725091780298,16
nominal,ativo,1.0,0.25,taxa_omissao,0,0,-0.2282118055555555,-0.2428391302724043,-0.2135844808387067,16,192,192,0,-0.2282118055555555,-0.2428391302724043,-0.2135844808387067,16
nominal,ativo,1.0,0.25,divida_latente_sobre_plano,0,0,-0.0778145764205228,-0.0862006672970262,-0.0694284855440194,16,192,192,0,-0.0778145764205228,-0.0862006672970262,-0.0694284855440194,16
nominal,ativo,1.0,0.25,taxa_falha_efetiva,0,0,-0.0430555555555555,-0.0568431665395924,-0.0292679445715186,16,192,192,0,-0.0430555555555555,-0.0568431665395924,-0.0292679445715186,16
nominal,ativo,1.0,0.25,fracao_porta1,0,0,-0.1164930555555555,-0.1366054009837088,-0.0963807101274022,16,192,192,0,-0.1164930555555555,-0.1366054009837088,-0.0963807101274022,16
nominal,desligado,1.0,0.25,atraso_relativo,0,0,-1.030587803993671,-1.1267771290159276,-0.934398478971414,16,192,192,0,-1.030587803993671,-1.1267771290159276,-0.934398478971414,16
nominal,desligado,1.0,0.25,taxa_omissao,0,0,-0.2105902777777777,-0.2235107437383018,-0.1976698118172537,16,192,192,0,-0.2105902777777777,-0.2235107437383018,-0.1976698118172537,16
nominal,desligado,1.0,0.25,divida_latente_sobre_plano,0,0,-0.0740072320628004,-0.0807031551154056,-0.0673113090101952,16,192,192,0,-0.0740072320628004,-0.0807031551154056,-0.0673113090101952,16
nominal,desligado,1.0,0.25,taxa_falha_efetiva,0,0,-0.0410590277777777,-0.0534193426310416,-0.0286987129245139,16,192,192,0,-0.0410590277777777,-0.0534193426310416,-0.0286987129245139,16
nominal,desligado,1.0,0.25,fracao_porta1,0,0,-0.1171006944444444,-0.1378049959511789,-0.0963963929377099,16,192,192,0,-0.1171006944444444,-0.1378049959511789,-0.0963963929377099,16
